Tiempo(seg.):0.006401555 / / y[0]=501908833.000000, y[1048575]=526289554374658.000000
Tiempo(seg.):0.006534478 / / y[0]=501908833.000000, y[2097151]=1052579108749314.000000
Tiempo(seg.):0.012669475 / / y[0]=501908833.000000, y[4194303]=2105158217498626.000000
Tiempo(seg.):0.025129284 / / y[0]=501908833.000000, y[8388607]=4210316434997250.000000
Tiempo(seg.):0.050473680 / / y[0]=501908833.000000, y[16777215]=8420632869994498.000000
Tiempo(seg.):0.107837769 / / y[0]=501908833.000000, y[33554431]=16841265739988994.000000
Tiempo(seg.):0.215217759 / / y[0]=1273826332.000000, y[67108863]=85485037939589120.000000
Tiempo(seg.):0.403330032 / / y[0]=1273826332.000000, y[134217727]=170970075879178240.000000
Tiempo(seg.):0.806931361 / / y[0]=966849074.000000, y[268435455]=259536571525496832.000000
